idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
0,B_mid_truth_600k_1100k,20,31.135,35.119,266.705,1.08835e+06,1.12146e+06,1.03042,10000000,20.05,86.8615,3999,596704,3999
1,C_bridge_truth_1100k_1200k,20,31.135,146.719,156.411,1.19961e+06,1.26216e+06,1.05214,10000000,20.05,91.9415,3979,584868,3979
2,C_bridge_truth_1100k_1200k,20,31.135,267.509,45.0006,1.19748e+06,1.24625e+06,1.04073,10000000,20.05,98.3674,3959,581040,3959
3,D_high_truth_gt1200k,20,31.135,379.109,31.135,1.23869e+06,1.27901e+06,1.03256,10000000,20.05,101.88,3939,581759,3939
4,D_high_truth_gt1200k,20,31.135,499.899,31.135,1.21589e+06,1.27407e+06,1.04785,10000000,20.05,104.516,3919,582538,3919
5,D_high_truth_gt1200k,20,31.135,611.499,31.135,1.2445e+06,1.29436e+06,1.04006,10000000,20.05,105.733,3899,581991,3899
6,D_high_truth_gt1200k,20,31.135,732.289,31.135,1.21826e+06,1.28117e+06,1.05164,10000000,20.05,106.315,3879,581395,3879
7,D_high_truth_gt1200k,20,31.135,843.889,31.135,1.24818e+06,1.29788e+06,1.03982,10000000,20.05,106.518,3859,582566,3859
8,D_high_truth_gt1200k,20,31.135,964.679,31.135,1.21753e+06,1.28284e+06,1.05364,10000000,20.05,106.83,3839,580980,3839
9,D_high_truth_gt1200k,20,31.135,1076.28,31.135,1.24601e+06,1.29872e+06,1.0423,10000000,20.05,106.918,3819,581333,3819
10,D_high_truth_gt1200k,20,31.135,1197.07,31.135,1.21753e+06,1.28326e+06,1.05398,10000000,20.05,106.955,3799,581677,3799
11,D_high_truth_gt1200k,20,31.135,1308.67,31.135,1.24652e+06,1.29893e+06,1.04204,10000000,20.05,107.176,3779,581696,3779
12,D_high_truth_gt1200k,20,31.135,1429.46,31.135,1.21614e+06,1.28336e+06,1.05527,10000000,20.05,106.964,3759,580802,3759
13,D_high_truth_gt1200k,20,31.135,1541.06,31.135,1.24894e+06,1.29897e+06,1.04006,10000000,20.05,107.024,3739,582482,3739
14,D_high_truth_gt1200k,20,31.135,1661.85,31.135,1.21903e+06,1.28336e+06,1.05277,10000000,20.05,107.151,3719,581780,3719
15,D_high_truth_gt1200k,20,31.135,1773.45,31.135,1.24712e+06,1.29897e+06,1.04158,10000000,20.05,106.989,3699,581567,3699
16,D_high_truth_gt1200k,20,31.135,1894.24,31.135,1.21697e+06,1.28336e+06,1.05456,10000000,20.05,107.266,3679,581559,3679
17,D_high_truth_gt1200k,20,31.135,2005.84,31.135,1.2465e+06,1.29897e+06,1.0421,10000000,20.05,107.064,3659,581660,3659
18,D_high_truth_gt1200k,20,31.135,2126.63,31.135,1.21973e+06,1.28336e+06,1.05217,10000000,20.05,107.066,3639,581928,3639
19,D_high_truth_gt1200k,20,31.135,2238.23,31.135,1.24869e+06,1.29897e+06,1.04027,10000000,20.05,107.266,3619,582077,3619
