idx,population,X,Y,Z,dT_or_R,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
0,B_mid_truth_600k_1100k,20,31.135,35.119,31.135,1.08835e+06,1.05216e+06,0.966741,10000000,20.05,86.8615,3999,596704,3999
1,C_bridge_truth_1100k_1200k,20,31.135,146.719,31.135,1.19961e+06,1.2294e+06,1.02483,10000000,20.05,91.9415,3979,584868,3979
2,C_bridge_truth_1100k_1200k,20,31.135,267.509,31.135,1.19748e+06,1.26848e+06,1.05929,10000000,20.05,98.3674,3959,581040,3959
3,D_high_truth_gt1200k,20,31.135,379.109,31.135,1.23869e+06,1.30634e+06,1.05462,10000000,20.05,101.88,3939,581759,3939
4,D_high_truth_gt1200k,20,31.135,499.899,31.135,1.21589e+06,1.30147e+06,1.07038,10000000,20.05,104.516,3919,582538,3919
5,D_high_truth_gt1200k,20,31.135,611.499,31.135,1.2445e+06,1.32224e+06,1.06247,10000000,20.05,105.733,3899,581991,3899
6,D_high_truth_gt1200k,20,31.135,732.289,31.135,1.21826e+06,1.30887e+06,1.07437,10000000,20.05,106.315,3879,581395,3879
7,D_high_truth_gt1200k,20,31.135,843.889,31.135,1.24818e+06,1.32594e+06,1.0623,10000000,20.05,106.518,3859,582566,3859
8,D_high_truth_gt1200k,20,31.135,964.679,31.135,1.21753e+06,1.31062e+06,1.07646,10000000,20.05,106.83,3839,580980,3839
9,B_mid_truth_600k_1100k,20,46.703,35.119,46.703,870338,819947,0.942102,10000000,25.3842,109.061,3999,349280,3999
10,B_mid_truth_600k_1100k,20,46.703,146.719,46.703,983893,996630,1.01295,10000000,25.3842,112.727,3979,336704,3979
11,B_mid_truth_600k_1100k,20,46.703,267.509,46.703,984156,1.03684e+06,1.05353,10000000,25.3842,120.959,3959,335186,3959
12,B_mid_truth_600k_1100k,20,46.703,379.109,46.703,1.02816e+06,1.07395e+06,1.04454,10000000,25.3842,124.382,3939,336395,3939
13,B_mid_truth_600k_1100k,20,46.703,499.899,46.703,1.0027e+06,1.06994e+06,1.06706,10000000,25.3842,128.158,3919,335440,3919
14,B_mid_truth_600k_1100k,20,46.703,611.499,46.703,1.03759e+06,1.08989e+06,1.05041,10000000,25.3842,129.017,3899,336817,3899
15,B_mid_truth_600k_1100k,20,46.703,732.289,46.703,1.00583e+06,1.07735e+06,1.07111,10000000,25.3842,130.586,3879,335503,3879
16,B_mid_truth_600k_1100k,20,46.703,843.889,46.703,1.03885e+06,1.09358e+06,1.05268,10000000,25.3842,130.311,3859,336846,3859
17,B_mid_truth_600k_1100k,20,46.703,964.679,46.703,1.00628e+06,1.0791e+06,1.07236,10000000,25.3842,131.152,3839,335226,3839
18,B_mid_truth_600k_1100k,20,62.27,35.119,62.27,745725,675070,0.905253,10000000,37.0321,127.139,3999,151333,3999
19,B_mid_truth_600k_1100k,20,62.27,146.719,62.27,863352,852724,0.98769,10000000,37.0321,128.923,3979,140687,3978
20,B_mid_truth_600k_1100k,20,62.27,267.509,62.27,865461,890731,1.0292,10000000,37.0321,138.586,3959,138954,3958
21,B_mid_truth_600k_1100k,20,62.27,379.109,62.27,908065,930399,1.0246,10000000,37.0321,141.758,3939,140376,3938
22,B_mid_truth_600k_1100k,20,62.27,499.899,62.27,881959,923948,1.04761,10000000,37.0321,146.329,3919,138540,3918
23,B_mid_truth_600k_1100k,20,62.27,611.499,62.27,916244,946372,1.03288,10000000,37.0321,147.025,3899,139587,3898
24,B_mid_truth_600k_1100k,20,62.27,732.289,62.27,884518,931357,1.05295,10000000,37.0321,149.275,3879,138977,3878
25,B_mid_truth_600k_1100k,20,62.27,843.889,62.27,919062,950061,1.03373,10000000,37.0321,148.685,3859,139977,3858
26,B_mid_truth_600k_1100k,20,62.27,964.679,62.27,884362,933104,1.05512,10000000,37.0321,149.822,3839,138732,3838
27,B_mid_truth_600k_1100k,20,77.838,35.119,77.838,879436,825618,0.938804,10000000,25.3841,109.552,3998,349542,3998
