idx,population,X,Y,Z,dT_or_R,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
0,D_high_truth_gt1200k,20,31.135,4915.31,31.135,1.2176e+06,1.2841e+06,1.05462,10000000,20.05,106.751,3159,580737,3159
1,D_high_truth_gt1200k,20,31.135,5026.91,31.135,1.24792e+06,1.29883e+06,1.04079,10000000,20.05,106.311,3139,582703,3139
2,D_high_truth_gt1200k,20,31.135,5147.7,31.135,1.2161e+06,1.2814e+06,1.05369,10000000,20.05,105.763,3119,582003,3119
3,D_high_truth_gt1200k,20,31.135,5259.3,31.135,1.24341e+06,1.29346e+06,1.04025,10000000,20.05,104.9,3099,581108,3099
4,D_high_truth_gt1200k,20,31.135,5380.09,31.135,1.21143e+06,1.26992e+06,1.04828,10000000,20.05,102.912,3079,581402,3079
5,D_high_truth_gt1200k,20,31.135,5491.69,31.135,1.23234e+06,1.26999e+06,1.03055,10000000,20.05,100.14,3059,581590,3059
6,B_mid_truth_600k_1100k,20,46.703,4915.31,46.703,1.00457e+06,1.05978e+06,1.05496,10000000,25.3842,130.833,3159,335039,3159
7,B_mid_truth_600k_1100k,20,46.703,5026.91,46.703,1.03803e+06,1.07368e+06,1.03434,10000000,25.3842,130.263,3139,335506,3139
8,B_mid_truth_600k_1100k,20,46.703,5147.7,46.703,1.00795e+06,1.05708e+06,1.04874,10000000,25.3842,129.823,3119,336425,3119
9,B_mid_truth_600k_1100k,20,46.703,5259.3,46.703,1.03461e+06,1.06829e+06,1.03256,10000000,25.3842,128.21,3099,336100,3099
10,B_mid_truth_600k_1100k,20,46.703,5380.09,46.703,998221,1.0456e+06,1.04746,10000000,25.3842,126.248,3079,335030,3079
11,B_mid_truth_600k_1100k,20,46.703,5491.69,46.703,1.02285e+06,1.04475e+06,1.02142,10000000,25.3842,122.549,3059,335879,3059
12,B_mid_truth_600k_1100k,20,62.27,5147.7,62.27,886167,913067,1.03036,10000000,37.0321,148.397,3119,139174,3118
13,B_mid_truth_600k_1100k,20,62.27,5259.3,62.27,916763,926702,1.01084,10000000,37.0321,145.986,3099,139640,3098
14,B_mid_truth_600k_1100k,20,62.27,5380.09,62.27,877553,901563,1.02736,10000000,37.0321,144.268,3079,138752,3078
15,B_mid_truth_600k_1100k,20,62.27,5491.69,62.27,902987,903090,1.00011,10000000,37.0321,139.563,3059,139958,3058
16,B_mid_truth_600k_1100k,20,77.838,4915.31,77.838,1.0173e+06,1.0676e+06,1.04945,10000000,25.3841,131.381,3158,335397,3158
17,B_mid_truth_600k_1100k,20,77.838,5026.91,77.838,1.05161e+06,1.08164e+06,1.02855,10000000,25.3841,130.844,3138,336123,3138
18,B_mid_truth_600k_1100k,20,77.838,5147.7,77.838,1.0168e+06,1.06492e+06,1.04732,10000000,25.3841,129.967,3118,336978,3118
19,B_mid_truth_600k_1100k,20,77.838,5259.3,77.838,1.04945e+06,1.07625e+06,1.02554,10000000,25.3841,128.622,3098,337862,3098
20,B_mid_truth_600k_1100k,20,77.838,5380.09,77.838,1.00842e+06,1.0534e+06,1.04461,10000000,25.3841,126.649,3078,335069,3078
21,B_mid_truth_600k_1100k,20,77.838,5491.69,77.838,1.0355e+06,1.05259e+06,1.0165,10000000,25.3841,122.938,3058,336902,3058
22,D_high_truth_gt1200k,20,93.406,4915.31,93.406,1.24595e+06,1.30207e+06,1.04504,10000000,20.05,108.399,3158,582312,3158
23,D_high_truth_gt1200k,20,93.406,5026.91,93.406,1.28025e+06,1.31707e+06,1.02875,10000000,20.05,108.232,3138,584427,3138
24,D_high_truth_gt1200k,20,93.406,5147.7,93.406,1.2438e+06,1.29938e+06,1.04469,10000000,20.05,107.562,3118,582073,3118
25,D_high_truth_gt1200k,20,93.406,5259.3,93.406,1.27767e+06,1.3117e+06,1.02663,10000000,20.05,106.77,3098,583651,3098
26,D_high_truth_gt1200k,20,93.406,5380.09,93.406,1.23914e+06,1.28786e+06,1.03931,10000000,20.05,104.533,3078,582445,3078
27,D_high_truth_gt1200k,20,93.406,5491.69,93.406,1.26449e+06,1.28799e+06,1.01858,10000000,20.05,101.708,3058,583083,3058
28,B_mid_truth_600k_1100k,20,108.973,4915.31,108.973,1.02217e+06,1.07488e+06,1.05157,10000000,25.384,131.724,3158,335984,3158
29,B_mid_truth_600k_1100k,20,108.973,5026.91,108.973,1.05843e+06,1.08904e+06,1.02892,10000000,25.384,130.706,3138,337893,3138
30,B_mid_truth_600k_1100k,20,108.973,5147.7,108.973,1.02191e+06,1.07221e+06,1.04922,10000000,25.384,130.386,3118,336097,3118
31,B_mid_truth_600k_1100k,20,108.973,5259.3,108.973,1.05517e+06,1.08368e+06,1.02701,10000000,25.384,128.849,3098,336895,3098
32,B_mid_truth_600k_1100k,20,108.973,5380.09,108.973,1.01754e+06,1.06069e+06,1.04241,10000000,25.384,126.679,3078,337728,3078
33,B_mid_truth_600k_1100k,20,108.973,5491.69,108.973,1.04336e+06,1.05995e+06,1.0159,10000000,25.384,122.891,3058,338185,3058
34,B_mid_truth_600k_1100k,20,124.541,4915.31,124.541,896339,928919,1.03635,10000000,37.0323,149.677,3157,138646,3158
35,B_mid_truth_600k_1100k,20,124.541,5026.91,124.541,931566,945473,1.01493,10000000,37.0323,148.312,3137,140054,3137
36,B_mid_truth_600k_1100k,20,124.541,5147.7,124.541,896004,926251,1.03376,10000000,37.0323,148.587,3117,139097,3117
37,B_mid_truth_600k_1100k,20,124.541,5259.3,124.541,928470,940123,1.01255,10000000,37.0323,146.32,3097,139706,3098
38,B_mid_truth_600k_1100k,20,124.541,5380.09,124.541,888519,914744,1.02952,10000000,37.0323,144.611,3077,139279,3078
39,B_mid_truth_600k_1100k,20,124.541,5491.69,124.541,914259,916371,1.00231,10000000,37.0323,139.57,3057,140240,3058
40,B_mid_truth_600k_1100k,20,140.108,4915.31,140.108,1.02693e+06,1.08153e+06,1.05317,10000000,25.3844,131.768,3157,336711,3157
41,B_mid_truth_600k_1100k,20,140.108,5026.91,140.108,1.06014e+06,1.09583e+06,1.03366,10000000,25.3844,130.727,3137,336609,3137
42,B_mid_truth_600k_1100k,20,140.108,5147.7,140.108,1.02145e+06,1.07888e+06,1.05622,10000000,25.3844,130.41,3117,334596,3117
43,B_mid_truth_600k_1100k,20,140.108,5259.3,140.108,1.05763e+06,1.09049e+06,1.03107,10000000,25.3844,128.631,3097,337451,3097
44,B_mid_truth_600k_1100k,20,140.108,5380.09,140.108,1.01746e+06,1.06739e+06,1.04908,10000000,25.3844,126.819,3077,335522,3077
45,B_mid_truth_600k_1100k,20,140.108,5491.69,140.108,1.04378e+06,1.06673e+06,1.02199,10000000,25.3844,122.734,3057,337427,3057
46,B_mid_truth_600k_1100k,20,171.243,4915.31,171.243,1.02631e+06,1.0875e+06,1.05962,10000000,25.3837,130.899,3157,336015,3157
47,B_mid_truth_600k_1100k,20,171.243,5026.91,171.243,1.06152e+06,1.10192e+06,1.03806,10000000,25.3837,130.244,3137,337187,3137
48,B_mid_truth_600k_1100k,20,171.243,5147.7,171.243,1.02582e+06,1.08487e+06,1.05756,10000000,25.3837,129.774,3117,336347,3117
49,B_mid_truth_600k_1100k,20,171.243,5259.3,171.243,1.05968e+06,1.09662e+06,1.03486,10000000,25.3837,128.178,3097,338065,3097
50,B_mid_truth_600k_1100k,20,171.243,5380.09,171.243,1.01942e+06,1.07344e+06,1.05299,10000000,25.3837,126.296,3077,336421,3077
51,B_mid_truth_600k_1100k,20,171.243,5491.69,171.243,1.04554e+06,1.0729e+06,1.02617,10000000,25.3837,122.28,3057,337410,3057
52,B_mid_truth_600k_1100k,20,186.811,5491.69,186.811,917447,927375,1.01082,10000000,37.0323,138.623,3057,140107,3057
53,B_mid_truth_600k_1100k,20,202.379,4915.31,202.379,1.02424e+06,1.09262e+06,1.06676,10000000,25.3837,130.515,3156,335199,3156
54,B_mid_truth_600k_1100k,20,202.379,5026.91,202.379,1.0623e+06,1.10717e+06,1.04224,10000000,25.3837,129.849,3136,338375,3136
55,B_mid_truth_600k_1100k,20,202.379,5147.7,202.379,1.02214e+06,1.09004e+06,1.06643,10000000,25.3837,129.347,3116,335722,3116
56,B_mid_truth_600k_1100k,20,202.379,5259.3,202.379,1.05821e+06,1.10194e+06,1.04133,10000000,25.3837,127.728,3096,337610,3096
57,B_mid_truth_600k_1100k,20,202.379,5380.09,202.379,1.0206e+06,1.07869e+06,1.05692,10000000,25.3837,125.378,3076,338103,3076
58,B_mid_truth_600k_1100k,20,202.379,5491.69,202.379,1.04458e+06,1.07829e+06,1.03227,10000000,25.3837,122.043,3056,336545,3056
59,D_high_truth_gt1200k,20,217.946,4915.31,217.946,1.25087e+06,1.33118e+06,1.0642,10000000,20.05,107.145,3156,584089,3156
60,D_high_truth_gt1200k,20,217.946,5026.91,217.946,1.28606e+06,1.34671e+06,1.04716,10000000,20.05,107.15,3136,584738,3136
61,D_high_truth_gt1200k,20,217.946,5147.7,217.946,1.24823e+06,1.32862e+06,1.0644,10000000,20.05,106.415,3116,581999,3116
62,D_high_truth_gt1200k,20,217.946,5259.3,217.946,1.28217e+06,1.34152e+06,1.04629,10000000,20.05,105.7,3096,583387,3096
63,D_high_truth_gt1200k,20,217.946,5380.09,217.946,1.24305e+06,1.31732e+06,1.05975,10000000,20.05,103.452,3076,582155,3076
64,D_high_truth_gt1200k,20,217.946,5491.69,217.946,1.27035e+06,1.31793e+06,1.03745,10000000,20.05,100.611,3056,584241,3056
65,B_mid_truth_600k_1100k,20,233.514,4915.31,233.514,1.02416e+06,1.09682e+06,1.07094,10000000,25.3843,129.589,3156,336174,3156
66,B_mid_truth_600k_1100k,20,233.514,5026.91,233.514,1.06028e+06,1.11149e+06,1.0483,10000000,25.3843,128.824,3136,337538,3136
67,B_mid_truth_600k_1100k,20,233.514,5147.7,233.514,1.02153e+06,1.09428e+06,1.07122,10000000,25.3843,128.447,3116,335517,3116
68,B_mid_truth_600k_1100k,20,233.514,5259.3,233.514,1.0593e+06,1.10634e+06,1.04441,10000000,25.3843,126.882,3096,338991,3096
69,B_mid_truth_600k_1100k,20,233.514,5380.09,233.514,1.01809e+06,1.08305e+06,1.06381,10000000,25.3843,125.046,3076,336122,3076
70,B_mid_truth_600k_1100k,20,233.514,5491.69,233.514,1.04382e+06,1.08284e+06,1.03739,10000000,25.3843,121.352,3056,337562,3056
71,B_mid_truth_600k_1100k,20,249.082,4915.31,249.082,896217,946863,1.05651,10000000,37.0323,147.211,3155,139136,3156
72,B_mid_truth_600k_1100k,20,249.082,5026.91,249.082,931167,963845,1.03509,10000000,37.0323,145.557,3135,140236,3136
73,B_mid_truth_600k_1100k,20,249.082,5147.7,249.082,895146,944355,1.05497,10000000,37.0323,146.091,3115,138919,3116
74,B_mid_truth_600k_1100k,20,249.082,5259.3,249.082,929015,958740,1.032,10000000,37.0323,143.84,3095,140111,3095
75,B_mid_truth_600k_1100k,20,249.082,5380.09,249.082,889307,933195,1.04935,10000000,37.0323,142.056,3075,139419,3075
76,B_mid_truth_600k_1100k,20,249.082,5491.69,249.082,916626,935336,1.02041,10000000,37.0323,137.191,3055,140451,3055
