  x      y     z      t      dx      dy      dz      dt      p         dp        n
  350.0    430.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    430.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    396.659     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    396.659     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    396.659     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    396.659     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    390.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    390.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    390.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    390.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    380.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    380.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    380.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    380.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    370.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    370.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    370.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    370.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    335.909     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    335.909     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    335.909     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    335.909     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    330.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    330.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    330.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    330.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    320.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
